<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+00CF,LATIN CAPITAL LETTER I WITH DIAERESIS,uni00CF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D0,LATIN CAPITAL LETTER ETH,uni00D0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D1,LATIN CAPITAL LETTER N WITH TILDE,uni00D1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D2,LATIN CAPITAL LETTER O WITH GRAVE,uni00D2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D3,LATIN CAPITAL LETTER O WITH ACUTE,uni00D3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,uni00D4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D5,LATIN CAPITAL LETTER O WITH TILDE,uni00D5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,uni00D6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D7,MULTIPLICATION SIGN,uni00D7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D8,LATIN CAPITAL LETTER O WITH STROKE,uni00D8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D9,LATIN CAPITAL LETTER U WITH GRAVE,uni00D9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DA,LATIN CAPITAL LETTER U WITH ACUTE,uni00DA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DB,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,uni00DB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DC,LATIN CAPITAL LETTER U WITH DIAERESIS,uni00DC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE,uni00DD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DE,LATIN CAPITAL LETTER THORN,uni00DE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DF,LATIN SMALL LETTER SHARP S,uni00DF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E0,LATIN SMALL LETTER A WITH GRAVE,uni00E0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E1,LATIN SMALL LETTER A WITH ACUTE,uni00E1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX,uni00E2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E3,LATIN SMALL LETTER A WITH TILDE,uni00E3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E4,LATIN SMALL LETTER A WITH DIAERESIS,uni00E4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E5,LATIN SMALL LETTER A WITH RING ABOVE,uni00E5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E6,LATIN SMALL LETTER AE,uni00E6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E7,LATIN SMALL LETTER C WITH CEDILLA,uni00E7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E8,LATIN SMALL LETTER E WITH GRAVE,uni00E8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E9,LATIN SMALL LETTER E WITH ACUTE,uni00E9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX,uni00EA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EB,LATIN SMALL LETTER E WITH DIAERESIS,uni00EB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EC,LATIN SMALL LETTER I WITH GRAVE,uni00EC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00ED,LATIN SMALL LETTER I WITH ACUTE,uni00ED,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EE,LATIN SMALL LETTER I WITH CIRCUMFLEX,uni00EE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EF,LATIN SMALL LETTER I WITH DIAERESIS,uni00EF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F0,LATIN SMALL LETTER ETH,uni00F0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F1,LATIN SMALL LETTER N WITH TILDE,uni00F1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F2,LATIN SMALL LETTER O WITH GRAVE,uni00F2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F3,LATIN SMALL LETTER O WITH ACUTE,uni00F3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F4,LATIN SMALL LETTER O WITH CIRCUMFLEX,uni00F4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F5,LATIN SMALL LETTER O WITH TILDE,uni00F5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F6,LATIN SMALL LETTER O WITH DIAERESIS,uni00F6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F7,DIVISION SIGN,uni00F7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F8,LATIN SMALL LETTER O WITH STROKE,uni00F8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00F9,LATIN SMALL LETTER U WITH GRAVE,uni00F9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FA,LATIN SMALL LETTER U WITH ACUTE,uni00FA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FB,LATIN SMALL LETTER U WITH CIRCUMFLEX,uni00FB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FC,LATIN SMALL LETTER U WITH DIAERESIS,uni00FC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FD,LATIN SMALL LETTER Y WITH ACUTE,uni00FD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FE,LATIN SMALL LETTER THORN,uni00FE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00FF,LATIN SMALL LETTER Y WITH DIAERESIS,uni00FF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+0100,LATIN CAPITAL LETTER A WITH MACRON,uni0100,AL3,Latin Extended-A,,A,R,
U+0101,LATIN SMALL LETTER A WITH MACRON,uni0101,AL3,Latin Extended-A,,A,R,
U+0102,LATIN CAPITAL LETTER A WITH BREVE,uni0102,AL3,Latin Extended-A,,A,R,
U+0103,LATIN SMALL LETTER A WITH BREVE,uni0103,AL3,Latin Extended-A,,A,R,
U+0104,LATIN CAPITAL LETTER A WITH OGONEK,uni0104,AL3,Latin Extended-A,,A,R,
U+0105,LATIN SMALL LETTER A WITH OGONEK,uni0105,AL3,Latin Extended-A,,A,R,
U+0106,LATIN CAPITAL LETTER C WITH ACUTE,uni0106,AL3,Latin Extended-A,,A,R,
U+0107,LATIN SMALL LETTER C WITH ACUTE,uni0107,AL3,Latin Extended-A,,A,R,
U+010C,LATIN CAPITAL LETTER C WITH CARON,uni010C,AL3,Latin Extended-A,,A,R,
U+010D,LATIN SMALL LETTER C WITH CARON,uni010D,AL3,Latin Extended-A,,A,R,
U+010E,LATIN CAPITAL LETTER D WITH CARON,uni010E,AL3,Latin Extended-A,,A,R,
U+010F,LATIN SMALL LETTER D WITH CARON,uni010F,AL3,Latin Extended-A,,A,R,
U+0110,LATIN CAPITAL LETTER D WITH STROKE,uni0110,AL3,Latin Extended-A,,A,R,
U+0111,LATIN SMALL LETTER D WITH STROKE,uni0111,AL3,Latin Extended-A,,A,R,
U+0112,LATIN CAPITAL LETTER E WITH MACRON,uni0112,AL3,Latin Extended-A,,A,R,
U+0113,LATIN SMALL LETTER E WITH MACRON,uni0113,AL3,Latin Extended-A,,A,R,
U+0116,LATIN CAPITAL LETTER E WITH DOT ABOVE,uni0116,AL3,Latin Extended-A,,A,R,
U+0117,LATIN SMALL LETTER E WITH DOT ABOVE,uni0117,AL3,Latin Extended-A,,A,R,
U+0118,LATIN CAPITAL LETTER E WITH OGONEK,uni0118,AL3,Latin Extended-A,,A,R,
U+0119,LATIN SMALL LETTER E WITH OGONEK,uni0119,AL3,Latin Extended-A,,A,R,
U+011A,LATIN CAPITAL LETTER E WITH CARON,uni011A,AL3,Latin Extended-A,,A,R,
U+011B,LATIN SMALL LETTER E WITH CARON,uni011B,AL3,Latin Extended-A,,A,R,
U+011E,LATIN CAPITAL LETTER G WITH BREVE,uni011E,AL3,Latin Extended-A,,A,R,
U+011F,LATIN SMALL LETTER G WITH BREVE,uni011F,AL3,Latin Extended-A,,A,R,
U+0122,LATIN CAPITAL LETTER G WITH CEDILLA,uni0122,AL3,Latin Extended-A,,A,R,
U+0123,LATIN SMALL LETTER G WITH CEDILLA,uni0123,AL3,Latin Extended-A,,A,R,
U+012A,LATIN CAPITAL LETTER I WITH MACRON,uni012A,AL3,Latin Extended-A,,A,R,
U+012B,LATIN SMALL LETTER I WITH MACRON,uni012B,AL3,Latin Extended-A,,A,R,
U+012E,LATIN CAPITAL LETTER I WITH OGONEK,uni012E,AL3,Latin Extended-A,,A,R,
U+012F,LATIN SMALL LETTER I WITH OGONEK,uni012F,AL3,Latin Extended-A,,A,R,
U+0130,LATIN CAPITAL LETTER I WITH DOT ABOVE,uni0130,AL3,Latin Extended-A,,A,R,
U+0131,LATIN SMALL LETTER DOTLESS I,uni0131,AL3,Latin Extended-A,,A,R,
U+0136,LATIN CAPITAL LETTER K WITH CEDILLA,uni0136,AL3,Latin Extended-A,,A,R,
U+0137,LATIN SMALL LETTER K WITH CEDILLA,uni0137,AL3,Latin Extended-A,,A,R,
