<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+1D579,MATHEMATICAL BOLD FRAKTUR CAPITAL N,u1D579,,Mathematical Alphanumeric Symbols,,T,,
U+1D57A,MATHEMATICAL BOLD FRAKTUR CAPITAL O,u1D57A,,Mathematical Alphanumeric Symbols,,T,,
U+1D57B,MATHEMATICAL BOLD FRAKTUR CAPITAL P,u1D57B,,Mathematical Alphanumeric Symbols,,T,,
U+1D57C,MATHEMATICAL BOLD FRAKTUR CAPITAL Q,u1D57C,,Mathematical Alphanumeric Symbols,,T,,
U+1D57D,MATHEMATICAL BOLD FRAKTUR CAPITAL R,u1D57D,,Mathematical Alphanumeric Symbols,,T,,
U+1D57E,MATHEMATICAL BOLD FRAKTUR CAPITAL S,u1D57E,,Mathematical Alphanumeric Symbols,,T,,
U+1D57F,MATHEMATICAL BOLD FRAKTUR CAPITAL T,u1D57F,,Mathematical Alphanumeric Symbols,,T,,
U+1D580,MATHEMATICAL BOLD FRAKTUR CAPITAL U,u1D580,,Mathematical Alphanumeric Symbols,,T,,
U+1D581,MATHEMATICAL BOLD FRAKTUR CAPITAL V,u1D581,,Mathematical Alphanumeric Symbols,,T,,
U+1D582,MATHEMATICAL BOLD FRAKTUR CAPITAL W,u1D582,,Mathematical Alphanumeric Symbols,,T,,
U+1D583,MATHEMATICAL BOLD FRAKTUR CAPITAL X,u1D583,,Mathematical Alphanumeric Symbols,,T,,
U+1D584,MATHEMATICAL BOLD FRAKTUR CAPITAL Y,u1D584,,Mathematical Alphanumeric Symbols,,T,,
U+1D585,MATHEMATICAL BOLD FRAKTUR CAPITAL Z,u1D585,,Mathematical Alphanumeric Symbols,,T,,
U+1D586,MATHEMATICAL BOLD FRAKTUR SMALL A,u1D586,,Mathematical Alphanumeric Symbols,,T,,
U+1D587,MATHEMATICAL BOLD FRAKTUR SMALL B,u1D587,,Mathematical Alphanumeric Symbols,,T,,
U+1D588,MATHEMATICAL BOLD FRAKTUR SMALL C,u1D588,,Mathematical Alphanumeric Symbols,,T,,
U+1D589,MATHEMATICAL BOLD FRAKTUR SMALL D,u1D589,,Mathematical Alphanumeric Symbols,,T,,
U+1D58A,MATHEMATICAL BOLD FRAKTUR SMALL E,u1D58A,,Mathematical Alphanumeric Symbols,,T,,
U+1D58B,MATHEMATICAL BOLD FRAKTUR SMALL F,u1D58B,,Mathematical Alphanumeric Symbols,,T,,
U+1D58C,MATHEMATICAL BOLD FRAKTUR SMALL G,u1D58C,,Mathematical Alphanumeric Symbols,,T,,
U+1D58D,MATHEMATICAL BOLD FRAKTUR SMALL H,u1D58D,,Mathematical Alphanumeric Symbols,,T,,
U+1D58E,MATHEMATICAL BOLD FRAKTUR SMALL I,u1D58E,,Mathematical Alphanumeric Symbols,,T,,
U+1D58F,MATHEMATICAL BOLD FRAKTUR SMALL J,u1D58F,,Mathematical Alphanumeric Symbols,,T,,
U+1D590,MATHEMATICAL BOLD FRAKTUR SMALL K,u1D590,,Mathematical Alphanumeric Symbols,,T,,
U+1D591,MATHEMATICAL BOLD FRAKTUR SMALL L,u1D591,,Mathematical Alphanumeric Symbols,,T,,
U+1D592,MATHEMATICAL BOLD FRAKTUR SMALL M,u1D592,,Mathematical Alphanumeric Symbols,,T,,
U+1D593,MATHEMATICAL BOLD FRAKTUR SMALL N,u1D593,,Mathematical Alphanumeric Symbols,,T,,
U+1D594,MATHEMATICAL BOLD FRAKTUR SMALL O,u1D594,,Mathematical Alphanumeric Symbols,,T,,
U+1D595,MATHEMATICAL BOLD FRAKTUR SMALL P,u1D595,,Mathematical Alphanumeric Symbols,,T,,
U+1D596,MATHEMATICAL BOLD FRAKTUR SMALL Q,u1D596,,Mathematical Alphanumeric Symbols,,T,,
U+1D597,MATHEMATICAL BOLD FRAKTUR SMALL R,u1D597,,Mathematical Alphanumeric Symbols,,T,,
U+1D598,MATHEMATICAL BOLD FRAKTUR SMALL S,u1D598,,Mathematical Alphanumeric Symbols,,T,,
U+1D599,MATHEMATICAL BOLD FRAKTUR SMALL T,u1D599,,Mathematical Alphanumeric Symbols,,T,,
U+1D59A,MATHEMATICAL BOLD FRAKTUR SMALL U,u1D59A,,Mathematical Alphanumeric Symbols,,T,,
U+1D59B,MATHEMATICAL BOLD FRAKTUR SMALL V,u1D59B,,Mathematical Alphanumeric Symbols,,T,,
U+1D59C,MATHEMATICAL BOLD FRAKTUR SMALL W,u1D59C,,Mathematical Alphanumeric Symbols,,T,,
U+1D59D,MATHEMATICAL BOLD FRAKTUR SMALL X,u1D59D,,Mathematical Alphanumeric Symbols,,T,,
U+1D59E,MATHEMATICAL BOLD FRAKTUR SMALL Y,u1D59E,,Mathematical Alphanumeric Symbols,,T,,
U+1D59F,MATHEMATICAL BOLD FRAKTUR SMALL Z,u1D59F,,Mathematical Alphanumeric Symbols,,T,,
U+1D670,MATHEMATICAL MONOSPACE CAPITAL A,u1D670,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D671,MATHEMATICAL MONOSPACE CAPITAL B,u1D671,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D672,MATHEMATICAL MONOSPACE CAPITAL C,u1D672,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D673,MATHEMATICAL MONOSPACE CAPITAL D,u1D673,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D674,MATHEMATICAL MONOSPACE CAPITAL E,u1D674,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D675,MATHEMATICAL MONOSPACE CAPITAL F,u1D675,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D676,MATHEMATICAL MONOSPACE CAPITAL G,u1D676,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D677,MATHEMATICAL MONOSPACE CAPITAL H,u1D677,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D678,MATHEMATICAL MONOSPACE CAPITAL I,u1D678,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D679,MATHEMATICAL MONOSPACE CAPITAL J,u1D679,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67A,MATHEMATICAL MONOSPACE CAPITAL K,u1D67A,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67B,MATHEMATICAL MONOSPACE CAPITAL L,u1D67B,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67C,MATHEMATICAL MONOSPACE CAPITAL M,u1D67C,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67D,MATHEMATICAL MONOSPACE CAPITAL N,u1D67D,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67E,MATHEMATICAL MONOSPACE CAPITAL O,u1D67E,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D67F,MATHEMATICAL MONOSPACE CAPITAL P,u1D67F,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D680,MATHEMATICAL MONOSPACE CAPITAL Q,u1D680,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D681,MATHEMATICAL MONOSPACE CAPITAL R,u1D681,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D682,MATHEMATICAL MONOSPACE CAPITAL S,u1D682,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D683,MATHEMATICAL MONOSPACE CAPITAL T,u1D683,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D684,MATHEMATICAL MONOSPACE CAPITAL U,u1D684,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D685,MATHEMATICAL MONOSPACE CAPITAL V,u1D685,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D686,MATHEMATICAL MONOSPACE CAPITAL W,u1D686,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D687,MATHEMATICAL MONOSPACE CAPITAL X,u1D687,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D688,MATHEMATICAL MONOSPACE CAPITAL Y,u1D688,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D689,MATHEMATICAL MONOSPACE CAPITAL Z,u1D689,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68A,MATHEMATICAL MONOSPACE SMALL A,u1D68A,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68B,MATHEMATICAL MONOSPACE SMALL B,u1D68B,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68C,MATHEMATICAL MONOSPACE SMALL C,u1D68C,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68D,MATHEMATICAL MONOSPACE SMALL D,u1D68D,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68E,MATHEMATICAL MONOSPACE SMALL E,u1D68E,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D68F,MATHEMATICAL MONOSPACE SMALL F,u1D68F,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D690,MATHEMATICAL MONOSPACE SMALL G,u1D690,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D691,MATHEMATICAL MONOSPACE SMALL H,u1D691,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D692,MATHEMATICAL MONOSPACE SMALL I,u1D692,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D693,MATHEMATICAL MONOSPACE SMALL J,u1D693,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D694,MATHEMATICAL MONOSPACE SMALL K,u1D694,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D695,MATHEMATICAL MONOSPACE SMALL L,u1D695,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D696,MATHEMATICAL MONOSPACE SMALL M,u1D696,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D697,MATHEMATICAL MONOSPACE SMALL N,u1D697,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D698,MATHEMATICAL MONOSPACE SMALL O,u1D698,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D699,MATHEMATICAL MONOSPACE SMALL P,u1D699,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69A,MATHEMATICAL MONOSPACE SMALL Q,u1D69A,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69B,MATHEMATICAL MONOSPACE SMALL R,u1D69B,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69C,MATHEMATICAL MONOSPACE SMALL S,u1D69C,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69D,MATHEMATICAL MONOSPACE SMALL T,u1D69D,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69E,MATHEMATICAL MONOSPACE SMALL U,u1D69E,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D69F,MATHEMATICAL MONOSPACE SMALL V,u1D69F,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D6A0,MATHEMATICAL MONOSPACE SMALL W,u1D6A0,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D6A1,MATHEMATICAL MONOSPACE SMALL X,u1D6A1,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D6A2,MATHEMATICAL MONOSPACE SMALL Y,u1D6A2,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D6A3,MATHEMATICAL MONOSPACE SMALL Z,u1D6A3,,Mathematical Alphanumeric Symbols,,A/C,,
U+1D6A4,MATHEMATICAL ITALIC SMALL DOTLESS I,u1D6A4,,Mathematical Alphanumeric Symbols,,A,I,U+0131
U+1D6A5,MATHEMATICAL ITALIC SMALL DOTLESS J,u1D6A5,,Mathematical Alphanumeric Symbols,,A,I,U+0237
U+1D6A8,MATHEMATICAL BOLD CAPITAL ALPHA,u1D6A8,,Mathematical Alphanumeric Symbols,,A,B,U+0391
U+1D6A9,MATHEMATICAL BOLD CAPITAL BETA,u1D6A9,,Mathematical Alphanumeric Symbols,,A,B,U+0392
U+1D6AA,MATHEMATICAL BOLD CAPITAL GAMMA,u1D6AA,,Mathematical Alphanumeric Symbols,,A,B,U+0393
U+1D6AB,MATHEMATICAL BOLD CAPITAL DELTA,u1D6AB,,Mathematical Alphanumeric Symbols,,A,B,U+0394
U+1D6AC,MATHEMATICAL BOLD CAPITAL EPSILON,u1D6AC,,Mathematical Alphanumeric Symbols,,A,B,U+0395
U+1D6AD,MATHEMATICAL BOLD CAPITAL ZETA,u1D6AD,,Mathematical Alphanumeric Symbols,,A,B,U+0396
U+1D6AE,MATHEMATICAL BOLD CAPITAL ETA,u1D6AE,,Mathematical Alphanumeric Symbols,,A,B,U+0397
U+1D6AF,MATHEMATICAL BOLD CAPITAL THETA,u1D6AF,,Mathematical Alphanumeric Symbols,,A,B,U+0398
U+1D6B0,MATHEMATICAL BOLD CAPITAL IOTA,u1D6B0,,Mathematical Alphanumeric Symbols,,A,B,U+0399
U+1D6B1,MATHEMATICAL BOLD CAPITAL KAPPA,u1D6B1,,Mathematical Alphanumeric Symbols,,A,B,U+039A
U+1D6B2,MATHEMATICAL BOLD CAPITAL LAMDA,u1D6B2,,Mathematical Alphanumeric Symbols,,A,B,U+039B
U+1D6B3,MATHEMATICAL BOLD CAPITAL MU,u1D6B3,,Mathematical Alphanumeric Symbols,,A,B,U+039C
U+1D6B4,MATHEMATICAL BOLD CAPITAL NU,u1D6B4,,Mathematical Alphanumeric Symbols,,A,B,U+039D
U+1D6B5,MATHEMATICAL BOLD CAPITAL XI,u1D6B5,,Mathematical Alphanumeric Symbols,,A,B,U+039E
U+1D6B6,MATHEMATICAL BOLD CAPITAL OMICRON,u1D6B6,,Mathematical Alphanumeric Symbols,,A,B,U+039F
U+1D6B7,MATHEMATICAL BOLD CAPITAL PI,u1D6B7,,Mathematical Alphanumeric Symbols,,A,B,U+03A0
U+1D6B8,MATHEMATICAL BOLD CAPITAL RHO,u1D6B8,,Mathematical Alphanumeric Symbols,,A,B,U+03A1
U+1D6B9,MATHEMATICAL BOLD CAPITAL THETA SYMBOL,u1D6B9,,Mathematical Alphanumeric Symbols,,A,B,U+03F4
U+1D6BA,MATHEMATICAL BOLD CAPITAL SIGMA,u1D6BA,,Mathematical Alphanumeric Symbols,,A,B,U+03A3
U+1D6BB,MATHEMATICAL BOLD CAPITAL TAU,u1D6BB,,Mathematical Alphanumeric Symbols,,A,B,U+03A4
U+1D6BC,MATHEMATICAL BOLD CAPITAL UPSILON,u1D6BC,,Mathematical Alphanumeric Symbols,,A,B,U+03A5
U+1D6BD,MATHEMATICAL BOLD CAPITAL PHI,u1D6BD,,Mathematical Alphanumeric Symbols,,A,B,U+03A6
U+1D6BE,MATHEMATICAL BOLD CAPITAL CHI,u1D6BE,,Mathematical Alphanumeric Symbols,,A,B,U+03A7
U+1D6BF,MATHEMATICAL BOLD CAPITAL PSI,u1D6BF,,Mathematical Alphanumeric Symbols,,A,B,U+03A8
U+1D6C0,MATHEMATICAL BOLD CAPITAL OMEGA,u1D6C0,,Mathematical Alphanumeric Symbols,,A,B,U+03A9
U+1D6C1,MATHEMATICAL BOLD NABLA,u1D6C1,,Mathematical Alphanumeric Symbols,,A,S,
U+1D6C2,MATHEMATICAL BOLD SMALL ALPHA,u1D6C2,,Mathematical Alphanumeric Symbols,,A,B,U+03B1
U+1D6C3,MATHEMATICAL BOLD SMALL BETA,u1D6C3,,Mathematical Alphanumeric Symbols,,A,B,U+03B2
U+1D6C4,MATHEMATICAL BOLD SMALL GAMMA,u1D6C4,,Mathematical Alphanumeric Symbols,,A,B,U+03B3
U+1D6C5,MATHEMATICAL BOLD SMALL DELTA,u1D6C5,,Mathematical Alphanumeric Symbols,,A,B,U+03B4
U+1D6C6,MATHEMATICAL BOLD SMALL EPSILON,u1D6C6,,Mathematical Alphanumeric Symbols,,A,B,U+03B5
U+1D6C7,MATHEMATICAL BOLD SMALL ZETA,u1D6C7,,Mathematical Alphanumeric Symbols,,A,B,U+03B6
U+1D6C8,MATHEMATICAL BOLD SMALL ETA,u1D6C8,,Mathematical Alphanumeric Symbols,,A,B,U+03B7
U+1D6C9,MATHEMATICAL BOLD SMALL THETA,u1D6C9,,Mathematical Alphanumeric Symbols,,A,B,U+03B8
U+1D6CA,MATHEMATICAL BOLD SMALL IOTA,u1D6CA,,Mathematical Alphanumeric Symbols,,A,B,U+03B9
U+1D6CB,MATHEMATICAL BOLD SMALL KAPPA,u1D6CB,,Mathematical Alphanumeric Symbols,,A,B,U+03BA
U+1D6CC,MATHEMATICAL BOLD SMALL LAMDA,u1D6CC,,Mathematical Alphanumeric Symbols,,A,B,U+03BB
U+1D6CD,MATHEMATICAL BOLD SMALL MU,u1D6CD,,Mathematical Alphanumeric Symbols,,A,B,U+03BC
U+1D6CE,MATHEMATICAL BOLD SMALL NU,u1D6CE,,Mathematical Alphanumeric Symbols,,A,B,U+03BD
U+1D6CF,MATHEMATICAL BOLD SMALL XI,u1D6CF,,Mathematical Alphanumeric Symbols,,A,B,U+03BE
U+1D6D0,MATHEMATICAL BOLD SMALL OMICRON,u1D6D0,,Mathematical Alphanumeric Symbols,,A,B,U+03BF
U+1D6D1,MATHEMATICAL BOLD SMALL PI,u1D6D1,,Mathematical Alphanumeric Symbols,,A,B,U+03C0
U+1D6D2,MATHEMATICAL BOLD SMALL RHO,u1D6D2,,Mathematical Alphanumeric Symbols,,A,B,U+03C1
U+1D6D3,MATHEMATICAL BOLD SMALL FINAL SIGMA,u1D6D3,,Mathematical Alphanumeric Symbols,,A,B,U+03C2
U+1D6D4,MATHEMATICAL BOLD SMALL SIGMA,u1D6D4,,Mathematical Alphanumeric Symbols,,A,B,U+03C3
U+1D6D5,MATHEMATICAL BOLD SMALL TAU,u1D6D5,,Mathematical Alphanumeric Symbols,,A,B,U+03C4
U+1D6D6,MATHEMATICAL BOLD SMALL UPSILON,u1D6D6,,Mathematical Alphanumeric Symbols,,A,B,U+03C5
U+1D6D7,MATHEMATICAL BOLD SMALL PHI,u1D6D7,,Mathematical Alphanumeric Symbols,,A,B,U+03C6
U+1D6D8,MATHEMATICAL BOLD SMALL CHI,u1D6D8,,Mathematical Alphanumeric Symbols,,A,B,U+03C7
U+1D6D9,MATHEMATICAL BOLD SMALL PSI,u1D6D9,,Mathematical Alphanumeric Symbols,,A,B,U+03C8
U+1D6DA,MATHEMATICAL BOLD SMALL OMEGA,u1D6DA,,Mathematical Alphanumeric Symbols,,A,B,U+03C9
U+1D6DB,MATHEMATICAL BOLD PARTIAL DIFFERENTIAL,u1D6DB,,Mathematical Alphanumeric Symbols,,A,B,U+2202
U+1D6DC,MATHEMATICAL BOLD EPSILON SYMBOL,u1D6DC,,Mathematical Alphanumeric Symbols,,A,B,U+03F5
U+1D6DD,MATHEMATICAL BOLD THETA SYMBOL,u1D6DD,,Mathematical Alphanumeric Symbols,,A,B,U+03D1
U+1D6DE,MATHEMATICAL BOLD KAPPA SYMBOL,u1D6DE,,Mathematical Alphanumeric Symbols,,A,B,U+03F0
U+1D6DF,MATHEMATICAL BOLD PHI SYMBOL,u1D6DF,,Mathematical Alphanumeric Symbols,,A,B,U+03D5
U+1D6E0,MATHEMATICAL BOLD RHO SYMBOL,u1D6E0,,Mathematical Alphanumeric Symbols,,A,B,U+03F1
U+1D6E1,MATHEMATICAL BOLD PI SYMBOL,u1D6E1,,Mathematical Alphanumeric Symbols,,A,B,U+03D6
U+1D6E2,MATHEMATICAL ITALIC CAPITAL ALPHA,u1D6E2,,Mathematical Alphanumeric Symbols,,A,I,U+0391
U+1D6E3,MATHEMATICAL ITALIC CAPITAL BETA,u1D6E3,,Mathematical Alphanumeric Symbols,,A,I,U+0392
U+1D6E4,MATHEMATICAL ITALIC CAPITAL GAMMA,u1D6E4,,Mathematical Alphanumeric Symbols,,A,I,U+0393
U+1D6E5,MATHEMATICAL ITALIC CAPITAL DELTA,u1D6E5,,Mathematical Alphanumeric Symbols,,A,I,U+0394
U+1D6E6,MATHEMATICAL ITALIC CAPITAL EPSILON,u1D6E6,,Mathematical Alphanumeric Symbols,,A,I,U+0395
U+1D6E7,MATHEMATICAL ITALIC CAPITAL ZETA,u1D6E7,,Mathematical Alphanumeric Symbols,,A,I,U+0396
U+1D6E8,MATHEMATICAL ITALIC CAPITAL ETA,u1D6E8,,Mathematical Alphanumeric Symbols,,A,I,U+0397
U+1D6E9,MATHEMATICAL ITALIC CAPITAL THETA,u1D6E9,,Mathematical Alphanumeric Symbols,,A,I,U+0398
U+1D6EA,MATHEMATICAL ITALIC CAPITAL IOTA,u1D6EA,,Mathematical Alphanumeric Symbols,,A,I,U+0399
U+1D6EB,MATHEMATICAL ITALIC CAPITAL KAPPA,u1D6EB,,Mathematical Alphanumeric Symbols,,A,I,U+039A
U+1D6EC,MATHEMATICAL ITALIC CAPITAL LAMDA,u1D6EC,,Mathematical Alphanumeric Symbols,,A,I,U+039B
U+1D6ED,MATHEMATICAL ITALIC CAPITAL MU,u1D6ED,,Mathematical Alphanumeric Symbols,,A,I,U+039C
U+1D6EE,MATHEMATICAL ITALIC CAPITAL NU,u1D6EE,,Mathematical Alphanumeric Symbols,,A,I,U+039D
U+1D6EF,MATHEMATICAL ITALIC CAPITAL XI,u1D6EF,,Mathematical Alphanumeric Symbols,,A,I,U+039E
U+1D6F0,MATHEMATICAL ITALIC CAPITAL OMICRON,u1D6F0,,Mathematical Alphanumeric Symbols,,A,I,U+039F
U+1D6F1,MATHEMATICAL ITALIC CAPITAL PI,u1D6F1,,Mathematical Alphanumeric Symbols,,A,I,U+03A0
U+1D6F2,MATHEMATICAL ITALIC CAPITAL RHO,u1D6F2,,Mathematical Alphanumeric Symbols,,A,I,U+03A1
U+1D6F3,MATHEMATICAL ITALIC CAPITAL THETA SYMBOL,u1D6F3,,Mathematical Alphanumeric Symbols,,A,I,U+03F4
U+1D6F4,MATHEMATICAL ITALIC CAPITAL SIGMA,u1D6F4,,Mathematical Alphanumeric Symbols,,A,I,U+03A3
U+1D6F5,MATHEMATICAL ITALIC CAPITAL TAU,u1D6F5,,Mathematical Alphanumeric Symbols,,A,I,U+03A4
U+1D6F6,MATHEMATICAL ITALIC CAPITAL UPSILON,u1D6F6,,Mathematical Alphanumeric Symbols,,A,I,U+03A5
U+1D6F7,MATHEMATICAL ITALIC CAPITAL PHI,u1D6F7,,Mathematical Alphanumeric Symbols,,A,I,U+03A6
U+1D6F8,MATHEMATICAL ITALIC CAPITAL CHI,u1D6F8,,Mathematical Alphanumeric Symbols,,A,I,U+03A7
U+1D6F9,MATHEMATICAL ITALIC CAPITAL PSI,u1D6F9,,Mathematical Alphanumeric Symbols,,A,I,U+03A8
U+1D6FA,MATHEMATICAL ITALIC CAPITAL OMEGA,u1D6FA,,Mathematical Alphanumeric Symbols,,A,I,U+03A9
U+1D6FB,MATHEMATICAL ITALIC NABLA,u1D6FB,,Mathematical Alphanumeric Symbols,,A,S,
U+1D6FC,MATHEMATICAL ITALIC SMALL ALPHA,u1D6FC,,Mathematical Alphanumeric Symbols,,A,I,U+03B1
U+1D6FD,MATHEMATICAL ITALIC SMALL BETA,u1D6FD,,Mathematical Alphanumeric Symbols,,A,I,U+03B2
U+1D6FE,MATHEMATICAL ITALIC SMALL GAMMA,u1D6FE,,Mathematical Alphanumeric Symbols,,A,I,U+03B3
U+1D6FF,MATHEMATICAL ITALIC SMALL DELTA,u1D6FF,,Mathematical Alphanumeric Symbols,,A,I,U+03B4
U+1D700,MATHEMATICAL ITALIC SMALL EPSILON,u1D700,,Mathematical Alphanumeric Symbols,,A,I,U+03B5
U+1D701,MATHEMATICAL ITALIC SMALL ZETA,u1D701,,Mathematical Alphanumeric Symbols,,A,I,U+03B6
U+1D702,MATHEMATICAL ITALIC SMALL ETA,u1D702,,Mathematical Alphanumeric Symbols,,A,I,U+03B7
U+1D703,MATHEMATICAL ITALIC SMALL THETA,u1D703,,Mathematical Alphanumeric Symbols,,A,I,U+03B8
U+1D704,MATHEMATICAL ITALIC SMALL IOTA,u1D704,,Mathematical Alphanumeric Symbols,,A,I,U+03B9
U+1D705,MATHEMATICAL ITALIC SMALL KAPPA,u1D705,,Mathematical Alphanumeric Symbols,,A,I,U+03BA
U+1D706,MATHEMATICAL ITALIC SMALL LAMDA,u1D706,,Mathematical Alphanumeric Symbols,,A,I,U+03BB
U+1D707,MATHEMATICAL ITALIC SMALL MU,u1D707,,Mathematical Alphanumeric Symbols,,A,I,U+03BC
U+1D708,MATHEMATICAL ITALIC SMALL NU,u1D708,,Mathematical Alphanumeric Symbols,,A,I,U+03BD
U+1D709,MATHEMATICAL ITALIC SMALL XI,u1D709,,Mathematical Alphanumeric Symbols,,A,I,U+03BE
U+1D70A,MATHEMATICAL ITALIC SMALL OMICRON,u1D70A,,Mathematical Alphanumeric Symbols,,A,I,U+03BF
U+1D70B,MATHEMATICAL ITALIC SMALL PI,u1D70B,,Mathematical Alphanumeric Symbols,,A,I,U+03C0
U+1D70C,MATHEMATICAL ITALIC SMALL RHO,u1D70C,,Mathematical Alphanumeric Symbols,,A,I,U+03C1
U+1D70D,MATHEMATICAL ITALIC SMALL FINAL SIGMA,u1D70D,,Mathematical Alphanumeric Symbols,,A,I,U+03C2
U+1D70E,MATHEMATICAL ITALIC SMALL SIGMA,u1D70E,,Mathematical Alphanumeric Symbols,,A,I,U+03C3
U+1D70F,MATHEMATICAL ITALIC SMALL TAU,u1D70F,,Mathematical Alphanumeric Symbols,,A,I,U+03C4
U+1D710,MATHEMATICAL ITALIC SMALL UPSILON,u1D710,,Mathematical Alphanumeric Symbols,,A,I,U+03C5
U+1D711,MATHEMATICAL ITALIC SMALL PHI,u1D711,,Mathematical Alphanumeric Symbols,,A,I,U+03C6
U+1D712,MATHEMATICAL ITALIC SMALL CHI,u1D712,,Mathematical Alphanumeric Symbols,,A,I,U+03C7
U+1D713,MATHEMATICAL ITALIC SMALL PSI,u1D713,,Mathematical Alphanumeric Symbols,,A,I,U+03C8
U+1D714,MATHEMATICAL ITALIC SMALL OMEGA,u1D714,,Mathematical Alphanumeric Symbols,,A,I,U+03C9
U+1D715,MATHEMATICAL ITALIC PARTIAL DIFFERENTIAL,u1D715,,Mathematical Alphanumeric Symbols,,A,I,U+2202
U+1D716,MATHEMATICAL ITALIC EPSILON SYMBOL,u1D716,,Mathematical Alphanumeric Symbols,,A,I,U+03F5
U+1D717,MATHEMATICAL ITALIC THETA SYMBOL,u1D717,,Mathematical Alphanumeric Symbols,,A,I,U+03D1
U+1D718,MATHEMATICAL ITALIC KAPPA SYMBOL,u1D718,,Mathematical Alphanumeric Symbols,,A,I,U+03F0
U+1D719,MATHEMATICAL ITALIC PHI SYMBOL,u1D719,,Mathematical Alphanumeric Symbols,,A,I,U+03D5
U+1D71A,MATHEMATICAL ITALIC RHO SYMBOL,u1D71A,,Mathematical Alphanumeric Symbols,,A,I,U+03F1
U+1D71B,MATHEMATICAL ITALIC PI SYMBOL,u1D71B,,Mathematical Alphanumeric Symbols,,A,I,U+03D6
U+1D71C,MATHEMATICAL BOLD ITALIC CAPITAL ALPHA,u1D71C,,Mathematical Alphanumeric Symbols,,A,X,U+0391
U+1D71D,MATHEMATICAL BOLD ITALIC CAPITAL BETA,u1D71D,,Mathematical Alphanumeric Symbols,,A,X,U+0392
U+1D71E,MATHEMATICAL BOLD ITALIC CAPITAL GAMMA,u1D71E,,Mathematical Alphanumeric Symbols,,A,X,U+0393
U+1D71F,MATHEMATICAL BOLD ITALIC CAPITAL DELTA,u1D71F,,Mathematical Alphanumeric Symbols,,A,X,U+0394
U+1D720,MATHEMATICAL BOLD ITALIC CAPITAL EPSILON,u1D720,,Mathematical Alphanumeric Symbols,,A,X,U+0395
U+1D721,MATHEMATICAL BOLD ITALIC CAPITAL ZETA,u1D721,,Mathematical Alphanumeric Symbols,,A,X,U+0396
U+1D722,MATHEMATICAL BOLD ITALIC CAPITAL ETA,u1D722,,Mathematical Alphanumeric Symbols,,A,X,U+0397
